player_id,shortName,position,birthDate,height,countryId,meta_status,meta_duels,meta_skills,meta_average,meta_defence,meta_passing,meta_physical,meta_shooting,meta_matchLink,meta_videoLink,meta_jerseyNumber,team_id,team_name,image_url
34112,Andreas Vaz,midfielder,1995-05-18,173.0,17.0,Wildcard,81,84,82,80,82,81,85,,,,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/70eb6f50-de99-4268-8692-ff8dbda62968/402801328.png
53010,Kelvin Oliveira,forward,1995-08-15,183.0,17.0,Wildcard,87,89,88,84,85,88,89,,,,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/d8cb7314-c12d-40ae-9064-ef2530fc0efa/686177379.png
68154,Igor Rezende,goalkeeper,1994-04-06,186.0,17.0,,77,,79,,,,,https://youtu.be/gPmmx78lJmA,https://youtu.be/8VJezskBaJs,309,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/3f14849c-f739-44b2-bf93-de2db10b58a5/637456761.png
68909,Wembley Luiz,defender,1997-08-15,186.0,17.0,,82,75,82,87,83,81,80,https://youtu.be/heRN3LonAGg,https://youtu.be/vwdfH95mvi8,10,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/db0e5300-f519-4fbe-b8fc-501802d0c528/748700670.png
68985,VT Sampaio,defender,2001-08-08,187.0,17.0,,70,59,71,80,69,78,66,https://youtu.be/pyrJOtXKH0g,https://youtu.be/lWEdSkqCNDc,37,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/0d5a4c45-3669-43df-8082-72c928269a7f/247257852.png
70132,Gabriel Braga,goalkeeper,2004-07-23,185.0,17.0,,86,,79,,,,,https://youtu.be/Yv579-6_SVw,https://youtu.be/BEKNOFaVVV8,323,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/091a860b-927f-4d8e-8023-90c0154b069d/850456264.png
70387,Kenu,midfielder,1999-04-15,180.0,17.0,,78,74,76,73,78,77,75,https://youtu.be/a1O7No9x1H0,https://youtu.be/iPQbLCkK7_Q,178,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/6e9f6172-ba71-4ce4-a3e8-3670451da1ee/645442114.png
70636,Nikolas Oliveira,forward,2004-09-21,175.0,17.0,,73,67,70,66,77,75,62,https://youtu.be/Yv579-6_SVw,https://youtu.be/L3sGGJaZL5Y,53,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/6bf842db-af91-4baf-a0a7-9a879f1bf259/927396515.png
71124,Matheus Rufino,midfielder,1998-02-06,,17.0,Wildcard,,,,,,,,,,,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/d0176b83-0a38-4848-a16a-ddbd3157f10b/890226245.png
71382,Felipe Cassiano,midfielder,2003-07-05,180.0,17.0,,76,79,77,69,75,80,77,https://youtu.be/W6xuMNGXU34,https://youtu.be/asoazHEVkSo,214,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/211f9ca6-7204-452b-b779-28cbb0d353d5/595860683.png
71425,Bruno Agnello,midfielder,1985-12-07,176.0,17.0,,74,72,76,74,77,78,76,https://youtu.be/cgnA5pkU_IM,https://youtu.be/OZaPJHnoV4Q,211,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/eef20fff-7760-41ff-be5f-5641e59e062d/367638857.png
71703,Lucas Silva,defender,1996-11-28,177.0,17.0,,75,70,79,88,82,83,71,https://youtu.be/W6xuMNGXU34,https://youtu.be/yWeUQe1orZc,80,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/412470bd-f651-4f45-b49b-2c962d6f5503/764853689.png
78089,Emerson  Carioca,midfielder,1995-12-07,180.0,,,,,,,,,,,,,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/2af47c3f-b14e-4f57-bd6f-3b7480c7c7ac/462720908.png
79730,Everton,forward,1990-11-23,177.0,17.0,,,,,,,,,,,,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/6e5f0c29-7765-46b5-9ae9-c71fbe52aa47/570908029.png
79955,Gegeu,forward,1995-03-22,175.0,17.0,,,,,,,,,,,,49,G3X FC,https://kingsleague-cdn.kama.football/account/production/player/9a7e436c-405e-4c58-9483-ce8d3ead47a7/575452211.png
33904,Jeffinho,midfielder,1995-09-27,178.0,17.0,Wildcard,,,,,,,,,,,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/aab29218-9c94-4835-ac69-9ee764db0f31/549237369.png
33918,Lipão,forward,1996-12-11,170.0,17.0,Wildcard,,,,,,,,,,,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/6af24538-8ba9-48de-a2cf-321e9ba214ec/781709020.png
33932,Leleti,forward,1996-06-21,173.0,17.0,,,,,,,,,,,,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/c28d327c-0e79-48f3-ba08-6ad9a732c2b7/236007128.png
68187,Guilherme Monagatti,forward,1992-02-10,183.0,17.0,,83,83,81,72,77,86,87,https://youtu.be/heRN3LonAGg,https://youtu.be/qrvWa47q60I,6,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/f08d5326-feb2-4da3-9b14-c5142d1086ea/293995284.png
68857,Caio Catroca,midfielder,1991-08-30,177.0,17.0,,75,79,78,77,76,82,77,https://youtu.be/heRN3LonAGg,https://youtu.be/BZsd2MqHII8,14,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/89065320-05b9-4f49-9e38-c93df0cb023d/668512939.png
69089,Murillo Donato,forward,1999-07-24,178.0,17.0,,83,81,80,70,79,86,84,https://youtu.be/pyrJOtXKH0g,https://youtu.be/-GnXTohcJ7U,180,50,Furia FC,https://kingsleague-cdn.kama.football/account/production/player/c3463ab5-2630-46d7-8932-629fa1c96626/190143025.png
